rank,game,prize,players,tournaments,month,year
59,Clash of Clans,1000.0,12,1,10,2021
60,Super Smash Bros.,650.0,8,1,10,2021
61,BlazBlue: Central Fiction,601.37,4,1,10,2021
62,Dragon Ball FighterZ,601.37,4,1,10,2021
63,Granblue Fantasy: Versus,601.37,4,1,10,2021
64,Under Night In-Birth Exe:Late[cl-r],601.37,4,1,10,2021
65,Super Smash Bros. Brawl,570.0,8,1,10,2021
66,Quake Champions,500.0,3,1,10,2021
67,Lemnis Gate,424.3,2,2,10,2021
68,Blaston,402.12,3,1,10,2021
69,Soul Calibur VI,400.91,3,1,10,2021
70,Ultimate Marvel vs. Capcom 3,400.91,3,1,10,2021
71,Auto Chess,400.0,2,4,10,2021
72,Age of Empires IV,200.0,4,2,10,2021
73,Age of Empires Online,150.0,4,1,10,2021
1,Fortnite,5005300.0,308,7,11,2021
2,Counter-Strike: Global Offensive,3856663.65,887,44,11,2021
3,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2932028.75,485,7,11,2021
4,League of Legends,2366876.87,248,7,11,2021
5,Brawl Stars,1000000.0,56,1,11,2021
6,Rainbow Six Siege,667306.81,252,8,11,2021
7,Call of Duty: Warzone,645000.0,121,11,11,2021
8,Call of Duty: Vanguard,620500.0,124,15,11,2021
9,Rocket League,616046.82,496,38,11,2021
10,Free Fire,600000.0,187,2,11,2021
11,League of Legends: Wild Rift,546980.0,62,2,11,2021
12,VALORANT,350626.14,649,39,11,2021
13,Dota 2,308192.31,326,12,11,2021
14,FIFA Online 4,300000.0,58,1,11,2021
15,Hearthstone,251375.04,162,2,11,2021
16,Brawlhalla,245180.0,175,11,11,2021
17,WarCraft III: Reforged,171288.15,38,13,11,2021
18,Apex Legends,154089.94,140,21,11,2021
19,Halo 3,150000.0,32,1,11,2021
20,Summoners War: Sky Arena,140000.0,4,1,11,2021
21,iRacing.com,136275.0,95,6,11,2021
22,Arena of Valor,132487.4,60,1,11,2021
23,Overwatch,106640.0,15,1,11,2021
24,Mobile Legends: Bang Bang,100000.0,105,1,11,2021
25,StarCraft II,78950.0,55,21,11,2021
26,Minecraft,73000.0,62,4,11,2021
27,Naraka: Bladepoint,70000.0,29,1,11,2021
28,StarCraft: Remastered,66400.0,28,1,11,2021
29,Assetto Corsa Competizione,60295.0,40,4,11,2021
30,Super Smash Bros. Ultimate,55711.09,83,13,11,2021
31,Point Blank,41823.09,32,2,11,2021
32,Age of Empires IV,33785.95,69,26,11,2021
33,FIFA 22,30339.76,32,2,11,2021
34,Tekken 7,25814.0,15,4,11,2021
35,Street Fighter V: Champion Edition,22000.0,16,1,11,2021
36,Quake Champions,20000.0,16,1,11,2021
37,Guilty Gear -STRIVE-,15000.0,8,1,11,2021
38,The Binding of Isaac,15000.0,16,1,11,2021
39,PLAYERUNKNOWN’S BATTLEGROUNDS,13523.78,48,4,11,2021
40,rFactor 2,11865.0,3,1,11,2021
41,Assetto Corsa,11332.05,27,5,11,2021
42,RaceRoom Racing Experience,11300.0,10,1,11,2021
43,Halo Infinite,11000.0,8,8,11,2021
44,Tetris,10000.0,16,1,11,2021
45,Golf With Your Friends,9400.0,7,1,11,2021
46,Diabotical,8818.0,47,16,11,2021
47,Chess.com,7500.0,22,5,11,2021
48,Age of Empires II,5438.18,58,13,11,2021
49,osu!,5339.6,28,2,11,2021
50,Ultimate Marvel vs. Capcom 3,5035.0,4,1,11,2021
51,Gears 5,4000.0,20,3,11,2021
52,Trackmania (2020),3693.03,38,12,11,2021
53,Age of Empires,3597.0,24,1,11,2021
54,Paladins,3250.0,15,1,11,2021
55,Under Night In-Birth Exe:Late[cl-r],2390.0,8,1,11,2021
56,Lichess,2100.0,12,3,11,2021
57,Auto Chess,1400.0,4,5,11,2021
58,Melty Blood: Actress Again Current Code,1250.0,8,1,11,2021
59,Xonotic,1100.0,7,3,11,2021
60,Clash of Clans,750.0,14,1,11,2021
61,Age of Empires III,650.0,5,2,11,2021
62,Dengeki Bunko: Fighting Climax Ignition,650.0,8,1,11,2021
63,Jak and Daxter: The Precursur Legacy,500.0,16,1,11,2021
64,Mobile Suit Gundam: Extreme Vs Maxi Boost ON,320.0,6,1,11,2021
65,Beat Saber,286.07,3,1,11,2021
66,Blaston,226.0,3,1,11,2021
67,Artifact Classic,200.0,2,2,11,2021
68,Lemnis Gate,140.4,4,2,11,2021
69,Age of Mythology,100.0,1,1,11,2021
70,Crab Game,90.0,3,3,11,2021
71,ARMS,10.0,1,1,11,2021
1,Arena of Valor,4501889.84,268,4,12,2021
2,PLAYERUNKNOWN’S BATTLEGROUNDS,4493662.9,188,9,12,2021
3,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2745216.22,347,8,12,2021
4,Shadowverse,2293296.2,8,1,12,2021
5,Counter-Strike: Global Offensive,2164756.47,1019,55,12,2021
6,Call of Duty: Mobile,2000000.0,133,2,12,2021
7,VALORANT,1073116.09,283,12,12,2021
8,Clash Royale,1020000.0,32,1,12,2021
9,CrossFire,860000.0,46,1,12,2021
10,Mobile Legends: Bang Bang,828413.67,118,4,12,2021
11,F1 2021,750000.0,22,1,12,2021
12,Apex Legends,718980.04,348,21,12,2021
13,Clash of Clans,701500.0,70,3,12,2021
14,Hearthstone,500000.0,8,1,12,2021
15,Magic: The Gathering Arena,450000.0,16,1,12,2021
16,Dota 2,443741.05,181,6,12,2021
17,Halo Infinite,440000.0,165,3,12,2021
18,Rainbow Six Siege,417471.14,163,8,12,2021
19,Call of Duty: Warzone,408135.0,67,10,12,2021
20,Rocket League,378442.03,246,28,12,2021
21,Farming Simulator 19,115260.0,48,1,12,2021
22,Chess.com,105900.0,30,5,12,2021
23,StarCraft II,97595.6,57,23,12,2021
24,Super Smash Bros. Ultimate,96613.71,85,10,12,2021
25,League of Legends,94771.86,122,5,12,2021
26,Age of Empires II,79851.55,97,15,12,2021
27,Super Smash Bros. Melee,75000.0,40,1,12,2021
28,Minecraft,71500.0,84,3,12,2021
29,Gwent,71000.0,8,1,12,2021
30,Tekken 7,55640.0,62,7,12,2021
31,Age of Empires IV,50329.25,158,32,12,2021
32,League of Legends: Wild Rift,45572.35,15,1,12,2021
33,iRacing.com,40266.0,55,5,12,2021
34,FIFA Online 4,39977.76,64,2,12,2021
35,Assetto Corsa,31199.09,34,7,12,2021
36,Trackmania (2020),26803.7,45,13,12,2021
37,Call of Duty: Vanguard,22000.0,44,9,12,2021
38,Teamfight Tactics,16790.27,56,2,12,2021
39,WarCraft III: Reforged,15239.0,9,7,12,2021
40,RaceRoom Racing Experience,11865.0,15,1,12,2021
41,Naraka: Bladepoint,10000.0,7,1,12,2021
42,StarCraft: Remastered,9061.6,20,2,12,2021
43,Age of Empires,8334.0,33,2,12,2021
44,Quake III Arena,7768.2,19,2,12,2021
45,Guilty Gear -STRIVE-,7400.0,8,1,12,2021
46,Point Blank,7283.5,20,2,12,2021
47,Street Fighter V: Champion Edition,4460.0,8,1,12,2021
48,Quake Champions,3572.57,22,3,12,2021
49,Diabotical,3501.0,21,11,12,2021
50,Mortal Kombat 11,2510.0,8,1,12,2021
51,Rocket League Sideswipe,2500.0,1,1,12,2021
52,Auto Chess,2400.0,8,6,12,2021
53,Lichess,2100.0,11,3,12,2021
54,Quake Live,1031.59,6,1,12,2021
55,Crab Game,660.0,12,6,12,2021
56,Age of Mythology,479.0,8,3,12,2021
57,osu!,457.26,7,2,12,2021
58,Assetto Corsa Competizione,400.0,6,1,12,2021
59,Beat Saber,400.0,3,1,12,2021
60,rFactor 2,359.95,17,1,12,2021
61,ARMS,251.0,3,1,12,2021
62,Blaston,200.0,3,1,12,2021
63,Age of Empires III,113.0,2,1,12,2021
1,Dota 2,1419035.6,216,9,1,2020
2,Arena of Valor,518760.0,40,1,1,2020
3,Counter-Strike: Global Offensive,495813.8,527,36,1,2020
4,Call of Duty: Modern Warfare,267300.0,107,4,1,2020
5,League of Legends,216967.69,185,5,1,2020
6,FIFA 20,216402.71,76,5,1,2020
7,PLAYERUNKNOWN’S BATTLEGROUNDS,147593.71,107,5,1,2020
8,WarCraft III,72425.8,18,8,1,2020
9,Super Smash Bros. Ultimate,67453.99,181,35,1,2020
10,Rainbow Six Siege,51352.11,80,5,1,2020
11,Age of Empires II,41697.49,39,18,1,2020
12,F1 2019,38047.38,3,1,1,2020
13,StarCraft II,37297.5,83,28,1,2020
14,Free Fire,33000.0,26,1,1,2020
15,Assetto Corsa,30996.0,1,1,1,2020
16,Tekken 7,24397.06,29,4,1,2020
17,Super Smash Bros. Melee,20195.12,27,3,1,2020
18,Street Fighter V: Arcade Edition,20036.79,16,2,1,2020
19,UNO,20000.0,16,2,1,2020
20,Rivals of Aether,19552.0,17,2,1,2020
21,Rocket League,15992.96,118,29,1,2020
22,Fortnite,13300.0,30,1,1,2020
23,Farming Simulator 19,13180.7,24,1,1,2020
24,Chess.com,13110.0,19,4,1,2020
25,Age of Empires,11954.0,50,1,1,2020
26,Overwatch,11862.0,39,2,1,2020
27,Samurai Shodown (2019),11638.4,15,2,1,2020
28,Mortal Kombat 11,10980.0,39,2,1,2020
29,BlazBlue: Cross Tag Battle,10648.4,16,2,1,2020
30,Soul Calibur VI,10360.97,16,2,1,2020
31,Dirt Rally 2.0,10000.0,5,2,1,2020
32,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,9376.0,51,1,1,2020
33,Shadowverse,7900.0,16,2,1,2020
34,rFactor 2,6818.94,3,1,1,2020
35,iRacing.com,4200.0,6,1,1,2020
36,Guilty Gear Xrd REV 2,4170.0,9,2,1,2020
37,TrackMania 2: Stadium,2912.98,17,6,1,2020
38,Fantasy Strike,2610.0,8,1,1,2020
39,Under Night In-Birth EXE: Late[st],2200.0,8,1,1,2020
40,Gears 5,2000.0,25,4,1,2020
41,Mystery Game Tournament,1920.0,8,1,1,2020
42,Dragon Ball FighterZ,1580.0,8,1,1,2020
43,Unreal Tournament (2016),1556.98,53,1,1,2020
44,Skullgirls 2nd Encore,1480.0,8,1,1,2020
45,Mario Kart 8 Deluxe,1305.0,24,2,1,2020
46,Splatoon 2,1270.0,13,1,1,2020
47,WarCraft III: Reforged,1250.0,6,2,1,2020
48,Lichess,1100.0,8,2,1,2020
49,Windjammers,1000.0,10,2,1,2020
50,Super Smash Bros.,940.0,11,2,1,2020
51,Street Fighter III: 3rd Strike,880.0,8,1,1,2020
52,Melty Blood: Actress Again Current Code,720.0,8,1,1,2020
53,Ultimate Marvel vs. Capcom 3,630.0,3,1,1,2020
54,BlazBlue: Central Fiction,600.0,3,1,1,2020
55,Super Street Fighter II Turbo,590.0,6,2,1,2020
56,Guilty Gear XX Accent Core Plus R,550.0,3,1,1,2020
57,Pokkén Tournament DX,520.0,3,1,1,2020
58,Vampire Savior,520.0,3,1,1,2020
59,Marvel vs. Capcom: Infinite,490.0,3,1,1,2020
60,Age of Empires III,380.0,4,1,1,2020
61,StarCraft: Remastered,370.0,6,4,1,2020
62,Artifact Classic,365.0,6,5,1,2020
63,King of Fighters XIV,340.0,3,1,1,2020
64,Them's Fightin' Herds,340.0,5,2,1,2020
65,Team Fortress 2,337.92,18,1,1,2020
66,Power Rangers: Battle for the Grid,330.0,3,1,1,2020
67,Sailor Moon S,310.0,3,1,1,2020
68,Dota Underlords,305.25,4,5,1,2020
69,Dead or Alive 6,250.0,3,1,1,2020
70,Capcom vs. SNK 2,240.0,3,1,1,2020
71,osu!,222.35,8,1,1,2020
72,Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,220.0,3,1,1,2020
73,Age of Mythology,200.0,4,1,1,2020
74,Brawlhalla,172.9,10,4,1,2020
75,Kill la Kill the Game: IF,70.0,3,1,1,2020
1,Rainbow Six Siege,3025435.67,125,6,2,2020
2,Magic: The Gathering Arena,1100000.0,28,2,2,2020
3,Counter-Strike: Global Offensive,975404.61,612,50,2,2020
4,Fortnite,517925.35,183,3,2,2020
5,Hearthstone,505569.03,137,5,2,2020
6,Free Fire,403353.48,111,1,2,2020
7,FIFA 20,365897.65,117,7,2,2020
8,Dota 2,358087.0,65,4,2,2020
9,PLAYERUNKNOWN’S BATTLEGROUNDS,325350.96,280,10,2,2020
10,Call of Duty: Modern Warfare,260150.0,86,6,2,2020
11,League of Legends,215255.32,144,7,2,2020
12,Dragon Ball FighterZ,80476.76,20,2,2,2020
13,Super Smash Bros. Melee,75067.54,53,9,2,2020
14,Chess.com,52000.0,27,3,2,2020
15,Halo: Reach,50000.0,32,1,2,2020
16,Super Smash Bros. Ultimate,37089.02,185,41,2,2020
17,WarCraft III: Reforged,34006.74,34,16,2,2020
18,StarCraft II,18292.34,64,30,2,2020
19,Rocket League,16493.89,85,22,2,2020
20,TrackMania 2: Stadium,14219.15,56,11,2,2020
21,Age of Empires,10069.0,31,4,2,2020
22,Mortal Kombat 11,10000.0,32,1,2,2020
23,iRacing.com,8005.0,48,2,2,2020
24,Shadowverse,8000.0,16,2,2,2020
25,FIFA Online 4,7021.82,12,2,2,2020
26,Age of Empires II,4062.99,19,11,2,2020
27,Under Night In-Birth EXE: Late[st],3836.89,15,3,2,2020
28,StarCraft: Remastered,3189.0,24,9,2,2020
29,Dota Underlords,3083.25,9,2,2,2020
30,Guilty Gear Xrd REV 2,2884.0,10,3,2,2020
31,BlazBlue: Central Fiction,2400.0,3,1,2,2020
32,Pokkén Tournament DX,2216.43,6,2,2,2020
33,Gears 5,2000.0,20,4,2,2020
34,rFactor 2,1888.86,3,1,2,2020
35,Samurai Shodown (2019),1460.0,6,2,2,2020
36,Tekken 7,1302.22,8,2,2,2020
37,BlazBlue: Cross Tag Battle,1130.0,15,2,2,2020
38,Lichess,1100.0,8,2,2,2020
39,Street Fighter V: Champion Edition,1000.0,4,1,2,2020
40,Under Night In-Birth Exe:Late[cl-r],1000.0,4,1,2,2020
41,Overwatch,984.0,13,1,2,2020
42,King of Fighters XIV,920.0,3,1,2,2020
43,osu!,592.89,3,1,2,2020
44,King of Fighters XIII,480.0,3,1,2,2020
45,King of Fighters 2002 Unlimited Match,380.0,3,1,2,2020
46,Super Smash Bros.,377.18,4,1,2,2020
47,Melty Blood: Actress Again Current Code,300.0,3,1,2,2020
48,Xonotic,298.38,23,1,2,2020
49,Street Fighter V: Arcade Edition,249.33,3,1,2,2020
50,Guilty Gear XX Accent Core Plus R,240.0,3,1,2,2020
51,Age of Mythology,200.0,4,1,2,2020
52,Garou: Mark of the Wolves,180.0,3,1,2,2020
53,Artifact Classic,150.0,6,3,2,2020
54,Magical Drop III,130.0,3,1,2,2020
55,Samurai Shodown V Special,130.0,3,1,2,2020
56,Dengeki Bunko: Fighting Climax Ignition,120.0,3,1,2,2020
57,Brawlhalla,53.6,6,1,2,2020
1,Rocket League,1127821.1,270,19,3,2020
2,Dota 2,908684.48,233,19,3,2020
3,Counter-Strike: Global Offensive,708291.94,427,38,3,2020
4,PLAYERUNKNOWN’S BATTLEGROUNDS,590142.44,301,9,3,2020
5,Hearthstone,505100.0,144,3,3,2020
6,CrossFire,493302.39,50,1,3,2020
7,StarCraft II,443085.6,116,42,3,2020
8,Rainbow Six Siege,378049.33,258,15,3,2020
9,Gears 5,365500.0,100,8,3,2020
10,Apex Legends,350000.0,177,9,3,2020
11,CrossFire Mobile,339816.0,0,1,3,2020
12,Call of Duty: Warzone,321550.01,191,7,3,2020
13,Fortnite,300000.0,453,15,3,2020
14,League of Legends,211653.99,351,16,3,2020
15,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,175822.46,237,5,3,2020
16,Teamfight Tactics,150250.0,16,1,3,2020
17,Call of Duty: Modern Warfare,138000.0,69,4,3,2020
18,Mortal Kombat 11,100000.0,16,1,3,2020
19,Age of Empires II,81298.81,57,18,3,2020
20,Free Fire,74895.94,71,2,3,2020
21,Brawlhalla,70020.1,107,13,3,2020
22,Quake Champions,58500.0,30,2,3,2020
23,Brawl Stars,56250.0,21,1,3,2020
24,Clash of Clans,45300.0,2,1,3,2020
25,rFactor 2,43950.36,32,5,3,2020
26,Super Smash Bros. Ultimate,41911.85,106,21,3,2020
27,Street Fighter V: Champion Edition,33223.36,11,3,3,2020
28,Ultimate Marvel vs. Capcom 3,15511.03,8,1,3,2020
29,WarCraft III: Reforged,14222.04,27,18,3,2020
30,Farming Simulator 19,13205.82,24,1,3,2020
31,Legends of Runeterra,13203.89,6,2,3,2020
32,StarCraft: Remastered,11229.0,37,8,3,2020
33,iRacing.com,7938.0,75,7,3,2020
34,Diabotical,5781.36,57,19,3,2020
35,TrackMania 2: Stadium,5414.63,33,13,3,2020
36,Heroes of the Storm,5395.0,24,2,3,2020
37,FIFA Online 4,5392.47,6,1,3,2020
38,FIFA 20,5000.72,4,4,3,2020
39,Shadowverse,3800.0,8,1,3,2020
40,Age of Empires III,3727.0,21,4,3,2020
41,Super Smash Bros. Melee,3580.0,18,4,3,2020
42,Lichess,2100.0,11,3,3,2020
43,Chess.com,2000.02,14,2,3,2020
44,Unreal Tournament (2016),1871.41,16,1,3,2020
45,Doom II: Hell on Earth,1500.0,4,1,3,2020
46,Age of Mythology,1431.0,15,3,3,2020
47,Tekken 7,1378.44,8,1,3,2020
48,Super Smash Bros. Brawl,770.0,11,3,3,2020
49,Lethal League Blaze,600.0,8,1,3,2020
50,Team Fortress 2,570.0,24,1,3,2020
51,Granblue Fantasy: Versus,517.0,4,2,3,2020
52,Super Smash Bros. for Wii U,490.0,3,1,3,2020
53,Dragon Ball FighterZ,365.5,3,1,3,2020
54,Assetto Corsa,306.1,14,8,3,2020
55,Super Smash Bros.,190.0,3,1,3,2020
56,Age of Empires,100.0,2,1,3,2020
57,Xonotic,22.29,18,1,3,2020
1,Counter-Strike: Global Offensive,2083570.24,731,45,4,2020
2,Fortnite,1979520.0,968,28,4,2020
3,League of Legends,1136211.59,465,14,4,2020
4,Dota 2,623956.0,345,20,4,2020
5,Rainbow Six Siege,535845.33,182,6,4,2020
6,Rocket League,352816.67,174,21,4,2020
7,Arena of Valor,308261.41,40,1,4,2020
8,PLAYERUNKNOWN’S BATTLEGROUNDS,299996.82,195,7,4,2020
9,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,299409.13,195,3,4,2020
10,Mobile Legends: Bang Bang,288500.0,63,1,4,2020
11,Call of Duty: Modern Warfare,280000.0,105,11,4,2020
12,Call of Duty: Warzone,248900.07,63,12,4,2020
13,Hearthstone,208287.69,63,10,4,2020
14,Apex Legends,201000.0,232,17,4,2020
15,Gears 5,91000.0,65,7,4,2020
16,StarCraft: Remastered,68031.0,35,6,4,2020
17,VALORANT,60825.14,298,52,4,2020
18,Escape from Tarkov,54600.0,96,2,4,2020
19,Forza Motorsport 7,49000.0,48,1,4,2020
20,rFactor 2,46977.5,22,3,4,2020
21,chess24,45400.0,16,1,4,2020
22,Clash Royale,44600.0,6,2,4,2020
23,Brawl Stars,23250.0,11,1,4,2020
24,Chess.com,22980.81,84,7,4,2020
25,Overwatch,21150.0,20,1,4,2020
26,Brawlhalla,20000.0,100,10,4,2020
27,WarCraft III: Reforged,19854.65,28,12,4,2020
28,StarCraft II,19137.51,82,44,4,2020
29,FIFA Online 4,16944.97,26,1,4,2020
30,Farming Simulator 19,12909.95,24,1,4,2020
31,FIFA 20,10000.0,6,4,4,2020
32,Team Fortress 2,9496.0,110,4,4,2020
33,Pistol Whip,7500.0,13,1,4,2020
34,Super Smash Bros. Ultimate,6500.0,47,11,4,2020
35,TrackMania 2: Stadium,4654.51,91,22,4,2020
36,Age of Empires II,4648.0,34,12,4,2020
37,Street Fighter V: Champion Edition,3017.54,10,5,4,2020
38,Super Smash Bros. Melee,3004.69,9,2,4,2020
39,Pokémon GO,1600.0,8,1,4,2020
40,osu!,1350.0,15,1,4,2020
41,Granblue Fantasy: Versus,1220.64,5,4,4,2020
42,Lichess,1100.0,8,2,4,2020
43,Assetto Corsa Competizione,708.0,2,1,4,2020
44,Tetr.io,308.27,3,1,4,2020
45,Age of Mythology,277.0,6,3,4,2020
46,Unreal Tournament (2016),270.53,12,1,4,2020
47,ARMS,261.0,8,1,4,2020
48,Dragon Ball FighterZ,210.2,3,1,4,2020
49,Age of Empires Online,200.0,3,1,4,2020
50,Puyo Puyo Tetris,184.5,3,1,4,2020
51,Xonotic,141.54,30,3,4,2020
52,Assetto Corsa,83.11,10,3,4,2020
53,Artifact Classic,60.0,7,2,4,2020
54,iRacing.com,20.0,2,1,4,2020
1,Fortnite,2326900.0,545,24,5,2020
2,League of Legends,1641644.93,444,14,5,2020
3,Dota 2,1155794.17,381,24,5,2020
4,Counter-Strike: Global Offensive,949093.86,747,52,5,2020
5,PLAYERUNKNOWN’S BATTLEGROUNDS,508504.8,333,11,5,2020
6,Call of Duty: Modern Warfare,331722.0,123,15,5,2020
7,Gears 5,322000.0,100,5,5,2020
8,chess24,282476.21,27,3,5,2020
9,Overwatch,225000.0,120,2,5,2020
10,Rocket League,223729.86,206,26,5,2020
11,Madden NFL 20,220000.0,16,1,5,2020
12,Chess.com,215230.69,180,13,5,2020
13,Arena of Valor,213090.66,65,2,5,2020
14,Apex Legends,206000.0,248,22,5,2020
15,Call of Duty: Warzone,202000.0,68,11,5,2020
16,Mobile Legends: Bang Bang,200200.0,112,2,5,2020
17,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,157500.0,114,5,5,2020
18,VALORANT,143887.2,335,47,5,2020
19,Paladins,120000.0,90,3,5,2020
20,Clash Royale,105000.0,39,2,5,2020
21,Lichess,102615.0,26,5,5,2020
22,Legends of Runeterra,100000.0,16,2,5,2020
23,Rainbow Six Siege,98345.88,117,5,5,2020
24,Hearthstone,80550.0,52,4,5,2020
25,Quake Champions,50000.0,24,1,5,2020
26,Free Fire,42307.67,30,1,5,2020
27,iRacing.com,41839.0,86,5,5,2020
28,StarCraft II,37913.0,77,39,5,2020
29,WarCraft III: Reforged,30490.14,35,16,5,2020
30,Gwent,29200.0,8,1,5,2020
31,Age of Empires II,24823.69,44,14,5,2020
32,Playchess.com,23014.86,33,1,5,2020
33,Super Smash Bros. Ultimate,22300.0,56,12,5,2020
34,Brawl Stars,19000.0,12,1,5,2020
35,rFactor 2,16837.0,22,1,5,2020
36,Farming Simulator 19,12931.73,24,1,5,2020
37,FIFA 20,12500.0,12,5,5,2020
38,FIFA Online 4,8497.84,9,1,5,2020
39,StarCraft: Remastered,5986.0,7,6,5,2020
40,Teamfight Tactics,4779.0,7,1,5,2020
41,RaceRoom Racing Experience,4290.0,21,4,5,2020
42,Shadowverse,4000.0,8,1,5,2020
43,Soul Calibur VI,3557.06,15,6,5,2020
44,Prophecy,3000.0,23,3,5,2020
45,Point Blank,2900.0,20,1,5,2020
46,TrackMania 2: Stadium,2478.58,43,11,5,2020
47,Melty Blood: Actress Again Current Code,2432.76,18,6,5,2020
48,Age of Empires III,2366.0,29,1,5,2020
49,Street Fighter V: Champion Edition,2159.27,10,4,5,2020
50,Old School Runescape,2000.0,2,1,5,2020
51,Granblue Fantasy: Versus,1002.81,8,5,5,2020
52,Tetr.io,951.92,6,3,5,2020
53,Brawlhalla,600.0,13,3,5,2020
54,Dragon Ball FighterZ,550.98,6,3,5,2020
55,Puyo Puyo Tetris,437.29,5,2,5,2020
56,Age of Mythology,324.0,7,3,5,2020
57,Assetto Corsa Competizione,236.0,2,2,5,2020
58,Tatsunoko vs. Capcom: Ultimate All-Stars,205.51,3,1,5,2020
59,Echo Arena,200.0,7,2,5,2020
60,Onward,200.0,5,1,5,2020
61,Artifact Classic,194.4,10,5,5,2020
62,Xonotic,131.74,30,3,5,2020
63,Beat Aim,70.0,3,1,5,2020
1,Counter-Strike: Global Offensive,1903548.72,850,56,6,2020
2,Arena of Valor,1200000.0,72,1,6,2020
3,Overwatch,1000000.0,266,7,6,2020
4,Dota 2,967509.21,329,16,6,2020
5,FIFA 20,928781.46,159,7,6,2020
6,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,702618.35,273,5,6,2020
7,Hearthstone,513226.37,127,4,6,2020
8,VALORANT,359819.99,736,59,6,2020
9,Call of Duty: Modern Warfare,330000.0,114,14,6,2020
10,StarCraft II,287690.78,156,42,6,2020
11,Call of Duty: Warzone,272763.3,219,12,6,2020
12,Lichess,269695.0,42,8,6,2020
13,Free Fire,245754.95,146,3,6,2020
14,PLAYERUNKNOWN’S BATTLEGROUNDS,226421.99,411,12,6,2020
15,Magic: The Gathering Arena,172000.0,32,4,6,2020
16,chess24,150000.0,12,1,6,2020
17,Rocket League,142756.98,171,27,6,2020
18,WarCraft III: Reforged,123288.84,32,5,6,2020
19,CrossFire,101920.0,49,2,6,2020
20,Fortnite,100000.0,66,3,6,2020
21,Chess.com,72300.0,65,7,6,2020
22,Apex Legends,63519.05,108,14,6,2020
23,Rainbow Six Siege,62967.18,81,4,6,2020
24,Paladins,49999.98,30,1,6,2020
25,Granblue Fantasy: Versus,47493.17,16,5,6,2020
26,Clash of Clans,41250.0,33,1,6,2020
27,Brawlhalla,40000.0,133,20,6,2020
28,rFactor 2,28967.5,46,6,6,2020
29,Age of Empires II,26506.16,79,25,6,2020
30,Mobile Legends: Bang Bang,26000.0,36,1,6,2020
31,Gwent,22000.0,8,1,6,2020
32,Brawl Stars,19000.0,10,1,6,2020
33,Tekken 7,18707.89,20,6,6,2020
34,StarCraft: Remastered,18112.69,36,8,6,2020
35,iRacing.com,14868.0,117,3,6,2020
36,Super Smash Bros. Ultimate,11890.22,70,19,6,2020
37,TrackMania 2: Stadium,10101.97,61,22,6,2020
38,Internet Chess Club,10000.0,6,1,6,2020
39,Prophecy,10000.0,9,1,6,2020
40,Age of Empires,9340.0,23,4,6,2020
41,Assetto Corsa,8776.8,20,2,6,2020
42,FIFA Online 4,8064.24,24,1,6,2020
43,Old School Runescape,7004.2,12,1,6,2020
44,League of Legends,5987.09,41,3,6,2020
45,Legends of Runeterra,5277.14,8,1,6,2020
46,Soul Calibur VI,5257.7,18,8,6,2020
47,Gears 5,2500.0,30,5,6,2020
48,Street Fighter V: Champion Edition,2245.23,12,4,6,2020
49,Super Smash Bros. Melee,2200.0,15,2,6,2020
50,osu!,1620.0,18,1,6,2020
51,Playchess.com,990.37,44,3,6,2020
52,Dragon Ball FighterZ,929.18,7,3,6,2020
53,ARMS,535.05,15,3,6,2020
54,Age of Empires III,500.0,8,1,6,2020
55,SLAYERS FOR HIRE,500.0,8,1,6,2020
56,Skullgirls 2nd Encore,450.0,3,1,6,2020
57,Artifact Classic,385.45,10,4,6,2020
58,Puyo Puyo Tetris,309.4,6,2,6,2020
59,Tatsunoko vs. Capcom: Ultimate All-Stars,300.6,3,1,6,2020
60,Lethal League Blaze,300.0,6,2,6,2020
61,Punch Planet,300.0,3,1,6,2020
62,Slap City,300.0,3,1,6,2020
63,Space Junkies,300.0,4,1,6,2020
64,Duck Game,250.0,3,1,6,2020
65,Fantasy Strike,250.0,8,1,6,2020
66,Assetto Corsa Competizione,236.0,4,2,6,2020
67,Age of Mythology,200.0,2,2,6,2020
68,Maiden & Spell,200.0,3,1,6,2020
69,Naruto: Gekitou Ninja Taisen! 4,200.0,3,1,6,2020
70,Pokkén Tournament DX,200.0,3,1,6,2020
71,Tetr.io,200.0,3,1,6,2020
72,Quake Champions,179.03,6,2,6,2020
73,Def Jam: Fight for NY,170.0,3,1,6,2020
74,Dead or Alive 6,160.0,3,1,6,2020
75,Kill la Kill the Game: IF,150.0,3,1,6,2020
76,Rivals of Aether,150.0,6,2,6,2020
77,Trackmania Turbo,112.5,3,1,6,2020
78,Acceleration of SUGURI 2,100.0,3,1,6,2020
79,Beat Aim,100.0,4,1,6,2020
80,Schwarzerblitz,100.0,3,1,6,2020
81,Street Fighter III: 3rd Strike,100.0,3,1,6,2020
82,Twinkle Star Sprites,100.0,3,1,6,2020
83,Guilty Gear Xrd REV 2,80.0,3,1,6,2020
