year,prize_year,tournaments,prize_pct_total,profile_link
2017,16387.61,7,2.28,/players/12229-insania-aydin-sarkohi
2016,80.0,1,0.01,/players/12229-insania-aydin-sarkohi
2015,10713.6,9,1.49,/players/12229-insania-aydin-sarkohi
2014,15173.4,10,2.11,/players/12229-insania-aydin-sarkohi
2013,1560.95,7,0.22,/players/12229-insania-aydin-sarkohi
2012,9022.17,4,1.26,/players/12229-insania-aydin-sarkohi
2022,383762.0,7,53.66,/players/41267-micke-michael-vu
2021,12626.67,4,1.77,/players/41267-micke-michael-vu
2020,82884.8,13,11.59,/players/41267-micke-michael-vu
2019,170569.4,15,23.85,/players/41267-micke-michael-vu
2018,15271.56,12,2.14,/players/41267-micke-michael-vu
2017,15764.52,4,2.2,/players/41267-micke-michael-vu
2016,6337.11,5,0.89,/players/41267-micke-michael-vu
2015,10713.6,9,1.5,/players/41267-micke-michael-vu
2014,15063.4,8,2.11,/players/41267-micke-michael-vu
2013,2206.16,4,0.31,/players/41267-micke-michael-vu
2022,383762.0,7,54.18,/players/18452-boxi-samuel-svahn
2021,13460.0,5,1.9,/players/18452-boxi-samuel-svahn
2020,82884.8,13,11.7,/players/18452-boxi-samuel-svahn
2019,170569.4,15,24.08,/players/18452-boxi-samuel-svahn
2018,16552.34,13,2.34,/players/18452-boxi-samuel-svahn
2017,14564.52,1,2.06,/players/18452-boxi-samuel-svahn
2016,281.0,1,0.04,/players/18452-boxi-samuel-svahn
2015,20869.8,9,2.95,/players/18452-boxi-samuel-svahn
2014,5025.6,8,0.71,/players/18452-boxi-samuel-svahn
2013,301.6,1,0.04,/players/18452-boxi-samuel-svahn
2022,375950.0,27,55.53,/players/68955-queasy-aleksa-cvetkovic
2021,230125.0,9,33.99,/players/68955-queasy-aleksa-cvetkovic
2020,64100.0,20,9.47,/players/68955-queasy-aleksa-cvetkovic
2019,6840.0,7,1.01,/players/68955-queasy-aleksa-cvetkovic
2022,372315.37,4,100.0,/players/108069-li-xiao-qigui
2022,363762.0,6,7.46,/players/12133-matumbaman-lasse-urpalainen
2021,744280.0,6,15.27,/players/12133-matumbaman-lasse-urpalainen
2020,203588.0,12,4.18,/players/12133-matumbaman-lasse-urpalainen
2019,93665.0,7,1.92,/players/12133-matumbaman-lasse-urpalainen
2018,646150.4,11,13.26,/players/12133-matumbaman-lasse-urpalainen
2017,2416772.4,13,49.59,/players/12133-matumbaman-lasse-urpalainen
2016,362813.2,13,7.44,/players/12133-matumbaman-lasse-urpalainen
2015,37596.81,14,0.77,/players/12133-matumbaman-lasse-urpalainen
2014,4783.23,5,0.1,/players/12133-matumbaman-lasse-urpalainen
2022,361950.0,23,90.77,/players/91149-malibuca-danila-yakovenko
2021,36300.0,5,9.1,/players/91149-malibuca-danila-yakovenko
2020,500.0,2,0.13,/players/91149-malibuca-danila-yakovenko
2022,358016.67,14,25.6,/players/2452-karrigan-finn-andersen
2021,44500.0,12,3.18,/players/2452-karrigan-finn-andersen
2020,62700.0,13,4.48,/players/2452-karrigan-finn-andersen
2019,174058.04,18,12.45,/players/2452-karrigan-finn-andersen
2018,200557.4,21,14.34,/players/2452-karrigan-finn-andersen
2017,301607.14,18,21.57,/players/2452-karrigan-finn-andersen
2016,117151.75,27,8.38,/players/2452-karrigan-finn-andersen
2015,100425.93,30,7.18,/players/2452-karrigan-finn-andersen
2014,3646.3,14,0.26,/players/2452-karrigan-finn-andersen
2013,3958.06,11,0.28,/players/2452-karrigan-finn-andersen
2012,14938.02,12,1.07,/players/2452-karrigan-finn-andersen
2011,10627.54,9,0.76,/players/2452-karrigan-finn-andersen
2010,3782.08,6,0.27,/players/2452-karrigan-finn-andersen
2009,426.5,3,0.03,/players/2452-karrigan-finn-andersen
2008,957.93,5,0.07,/players/2452-karrigan-finn-andersen
2007,978.55,3,0.07,/players/2452-karrigan-finn-andersen
2006,206.87,1,0.01,/players/2452-karrigan-finn-andersen
2022,358016.67,14,28.32,/players/20415-twistzz-russel-van-dulken
2021,43300.0,13,3.42,/players/20415-twistzz-russel-van-dulken
2020,78200.0,15,6.19,/players/20415-twistzz-russel-van-dulken
2019,477850.0,24,37.8,/players/20415-twistzz-russel-van-dulken
2018,211500.0,20,16.73,/players/20415-twistzz-russel-van-dulken
2017,74429.76,18,5.89,/players/20415-twistzz-russel-van-dulken
2016,20716.67,8,1.64,/players/20415-twistzz-russel-van-dulken
2015,280.0,1,0.02,/players/20415-twistzz-russel-van-dulken
2022,358016.67,14,30.74,/players/5483-rain-havard-nygaard
2021,43300.0,13,3.72,/players/5483-rain-havard-nygaard
2020,52320.0,15,4.49,/players/5483-rain-havard-nygaard
2019,125933.33,24,10.81,/players/5483-rain-havard-nygaard
2018,200557.4,21,17.22,/players/5483-rain-havard-nygaard
2017,304107.14,19,26.11,/players/5483-rain-havard-nygaard
2016,59438.74,18,5.1,/players/5483-rain-havard-nygaard
2015,19831.05,16,1.7,/players/5483-rain-havard-nygaard
2014,1080.0,5,0.09,/players/5483-rain-havard-nygaard
2013,131.91,1,0.01,/players/5483-rain-havard-nygaard
2022,358016.67,14,39.93,/players/31594-ropz-robin-kool
2021,32500.0,12,3.63,/players/31594-ropz-robin-kool
2020,62700.0,13,6.99,/players/31594-ropz-robin-kool
2019,173958.04,20,19.4,/players/31594-ropz-robin-kool
2018,181379.6,18,20.23,/players/31594-ropz-robin-kool
2017,86054.4,18,9.6,/players/31594-ropz-robin-kool
2016,1918.7,4,0.21,/players/31594-ropz-robin-kool
2022,358016.67,14,66.08,/players/54188-broky-helvijs-saukants
2021,43300.0,13,7.99,/players/54188-broky-helvijs-saukants
2020,57320.0,18,10.58,/players/54188-broky-helvijs-saukants
2019,67993.13,38,12.55,/players/54188-broky-helvijs-saukants
2018,15202.61,23,2.81,/players/54188-broky-helvijs-saukants
2022,338400.0,23,67.96,/players/85281-veno-harry-pearson
2021,158000.0,3,31.73,/players/85281-veno-harry-pearson
2020,1550.0,3,0.31,/players/85281-veno-harry-pearson
2022,331648.67,5,24.46,/players/60417-fly-peng-yunfei
2021,693005.42,4,51.11,/players/60417-fly-peng-yunfei
2020,90805.48,3,6.7,/players/60417-fly-peng-yunfei
2019,93107.95,4,6.87,/players/60417-fly-peng-yunfei
2018,76551.21,3,5.65,/players/60417-fly-peng-yunfei
2017,70785.65,3,5.22,/players/60417-fly-peng-yunfei
2022,331648.67,5,31.3,/players/90011-1dao-zhong-letian
2021,693005.42,4,65.41,/players/90011-1dao-zhong-letian
2020,10689.7,1,1.01,/players/90011-1dao-zhong-letian
2019,24156.5,1,2.28,/players/90011-1dao-zhong-letian
2022,331648.67,5,32.32,/players/97600-cyq-cai-youqi
2021,693005.42,4,67.53,/players/97600-cyq-cai-youqi
2020,1525.0,1,0.15,/players/97600-cyq-cai-youqi
2022,331648.67,5,32.32,/players/97601-fanfan-fan-yang
2021,693005.42,4,67.53,/players/97601-fanfan-fan-yang
2020,1525.0,1,0.15,/players/97601-fanfan-fan-yang
2023,14200.0,1,3.47,/players/103232-yzz-ye-zhiwei
2022,327894.71,4,80.24,/players/103232-yzz-ye-zhiwei
2021,53039.32,7,12.98,/players/103232-yzz-ye-zhiwei
2020,12100.33,3,2.96,/players/103232-yzz-ye-zhiwei
2019,1426.0,1,0.35,/players/103232-yzz-ye-zhiwei
2022,316983.9,12,98.14,/players/79686-yuragi-artem-golubiev
2021,5072.76,4,1.57,/players/79686-yuragi-artem-golubiev
2020,944.2,3,0.29,/players/79686-yuragi-artem-golubiev
2022,314267.0,10,21.46,/players/28739-ori-zeng-jiaoyang
2021,315939.07,8,21.58,/players/28739-ori-zeng-jiaoyang
2020,62913.2,14,4.3,/players/28739-ori-zeng-jiaoyang
2019,506933.5,13,34.62,/players/28739-ori-zeng-jiaoyang
2018,228471.16,13,15.6,/players/28739-ori-zeng-jiaoyang
2017,35702.73,8,2.44,/players/28739-ori-zeng-jiaoyang
2022,314267.0,10,23.9,/players/30452-monet-du-peng
2021,175552.23,8,13.35,/players/30452-monet-du-peng
2020,49686.98,17,3.78,/players/30452-monet-du-peng
2019,189516.24,8,14.41,/players/30452-monet-du-peng
2018,11870.88,4,0.9,/players/30452-monet-du-peng
2017,556323.34,7,42.31,/players/30452-monet-du-peng
2016,17798.91,7,1.35,/players/30452-monet-du-peng
2022,314267.0,10,31.61,/players/20101-boboka-ye-zhibiao
2021,167806.73,7,16.88,/players/20101-boboka-ye-zhibiao
2020,47407.16,17,4.77,/players/20101-boboka-ye-zhibiao
2019,16799.56,8,1.69,/players/20101-boboka-ye-zhibiao
2018,37397.76,9,3.76,/players/20101-boboka-ye-zhibiao
2017,364141.33,13,36.63,/players/20101-boboka-ye-zhibiao
2016,43006.28,8,4.33,/players/20101-boboka-ye-zhibiao
2015,3321.13,3,0.33,/players/20101-boboka-ye-zhibiao
2022,314267.0,10,32.26,/players/26666-xxs-lin-jing
2021,167806.73,7,17.23,/players/26666-xxs-lin-jing
2020,47407.16,17,4.87,/players/26666-xxs-lin-jing
2019,16799.56,8,1.72,/players/26666-xxs-lin-jing
2018,37397.76,9,3.84,/players/26666-xxs-lin-jing
2017,344141.33,12,35.33,/players/26666-xxs-lin-jing
2016,43006.28,8,4.42,/players/26666-xxs-lin-jing
2015,3240.6,2,0.33,/players/26666-xxs-lin-jing
2022,314267.0,10,95.9,/players/71099--yu-yajun
2021,7518.73,6,2.29,/players/71099--yu-yajun
2020,5820.89,5,1.78,/players/71099--yu-yajun
2019,89.46,1,0.03,/players/71099--yu-yajun
2022,312045.99,5,47.86,/players/89955-qingf-du-zhou
2021,280484.49,3,43.02,/players/89955-qingf-du-zhou
2020,7393.8,2,1.13,/players/89955-qingf-du-zhou
2019,12682.16,1,1.95,/players/89955-qingf-du-zhou
2018,39390.44,3,6.04,/players/89955-qingf-du-zhou
2022,312045.99,5,50.94,/players/89953-pengp-hu-jiapeng
2021,280484.49,3,45.79,/players/89953-pengp-hu-jiapeng
2020,7393.8,2,1.21,/players/89953-pengp-hu-jiapeng
2019,12682.16,1,2.07,/players/89953-pengp-hu-jiapeng
2022,312045.99,5,51.32,/players/89954-agai-yang-tingpu
2021,280484.49,3,46.13,/players/89954-agai-yang-tingpu
2020,2812.5,1,0.46,/players/89954-agai-yang-tingpu
2019,12682.16,1,2.09,/players/89954-agai-yang-tingpu
2022,312045.99,5,52.01,/players/89956-baishou-fang-qingyou
2021,280484.49,3,46.75,/players/89956-baishou-fang-qingyou
2020,7393.8,2,1.23,/players/89956-baishou-fang-qingyou
2022,304658.49,4,52.65,/players/90013-menglan-peng-junlan
2021,268477.49,2,46.4,/players/90013-menglan-peng-junlan
2020,5513.56,2,0.95,/players/90013-menglan-peng-junlan
2022,300700.0,3,99.5,/players/113765-xunge-
2021,1522.0,1,0.5,/players/113765-xunge-
2022,298125.0,8,21.57,/players/53093-abezy-tyler-pharris
2021,515916.67,12,37.32,/players/53093-abezy-tyler-pharris
2020,243025.01,19,17.58,/players/53093-abezy-tyler-pharris
2019,310114.0,8,22.43,/players/53093-abezy-tyler-pharris
2018,15225.0,3,1.1,/players/53093-abezy-tyler-pharris
2022,298125.0,8,22.2,/players/32897-simp-christopher-lehr
2021,498500.0,8,37.12,/players/32897-simp-christopher-lehr
2020,250708.33,16,18.67,/players/32897-simp-christopher-lehr
2019,288500.0,6,21.48,/players/32897-simp-christopher-lehr
2018,2120.0,4,0.16,/players/32897-simp-christopher-lehr
2017,3500.0,2,0.26,/players/32897-simp-christopher-lehr
2016,1625.0,1,0.12,/players/32897-simp-christopher-lehr
2022,298125.0,8,26.45,/players/36617-cellium-mcarthur-jovel
2021,490100.0,10,43.49,/players/36617-cellium-mcarthur-jovel
2020,256550.0,17,22.76,/players/36617-cellium-mcarthur-jovel
2019,74170.6,9,6.58,/players/36617-cellium-mcarthur-jovel
2018,1253.33,4,0.11,/players/36617-cellium-mcarthur-jovel
2017,6850.0,5,0.61,/players/36617-cellium-mcarthur-jovel
2022,291983.9,11,50.59,/players/23188-taiga-tommy-le
2021,14620.0,5,2.53,/players/23188-taiga-tommy-le
2020,82884.8,13,14.36,/players/23188-taiga-tommy-le
2019,170569.4,15,29.55,/players/23188-taiga-tommy-le
2018,15271.56,12,2.65,/players/23188-taiga-tommy-le
2017,880.0,4,0.15,/players/23188-taiga-tommy-le
2015,997.77,4,0.17,/players/23188-taiga-tommy-le
2022,291983.9,11,95.64,/players/88909-atf-ammar-alassaf
2021,12920.0,6,4.23,/players/88909-atf-ammar-alassaf
2020,381.21,1,0.12,/players/88909-atf-ammar-alassaf
2022,291983.9,11,97.04,/players/97155-bzm-bozhidar-bozhilov
2021,8920.0,3,2.96,/players/97155-bzm-bozhidar-bozhilov
2022,291769.94,4,79.66,/players/89305--zhang-jianhui
2021,27230.0,4,7.43,/players/89305--zhang-jianhui
2020,47289.04,3,12.91,/players/89305--zhang-jianhui
2022,286769.94,3,68.51,/players/95103-flowerc-you-guochuan
2021,128884.61,4,30.79,/players/95103-flowerc-you-guochuan
2020,2953.7,2,0.71,/players/95103-flowerc-you-guochuan
2022,286769.94,3,90.95,/players/104256-chang-quan
2021,24289.09,4,7.7,/players/104256-chang-quan
2020,4234.0,1,1.34,/players/104256-chang-quan
2022,286769.94,3,95.66,/players/104303-dd-huang-youci
2021,8766.09,3,2.92,/players/104303-dd-huang-youci
2020,4234.0,1,1.41,/players/104303-dd-huang-youci
2022,286769.94,3,96.3,/players/103233--yao-chenyi
2021,11014.69,3,3.7,/players/103233--yao-chenyi
2022,286500.0,25,38.16,/players/80697-th0mashd-thomas-hoxbro-davidsen
2021,258575.0,10,34.44,/players/80697-th0mashd-thomas-hoxbro-davidsen
2020,116650.0,21,15.54,/players/80697-th0mashd-thomas-hoxbro-davidsen
2019,87590.0,25,11.67,/players/80697-th0mashd-thomas-hoxbro-davidsen
2018,1500.0,1,0.2,/players/80697-th0mashd-thomas-hoxbro-davidsen
2022,278125.0,7,19.98,/players/31870-arcitys-alec-sanderson
2021,485850.0,9,34.9,/players/31870-arcitys-alec-sanderson
2020,164091.66,13,11.79,/players/31870-arcitys-alec-sanderson
2019,310114.0,8,22.28,/players/31870-arcitys-alec-sanderson
2018,67873.43,9,4.88,/players/31870-arcitys-alec-sanderson
2017,82375.0,9,5.92,/players/31870-arcitys-alec-sanderson
2016,3750.0,1,0.27,/players/31870-arcitys-alec-sanderson
